TrID,TrayNotes,TrayTypeName,Position,PlantID,PlantName,PlantNotes
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,B1,2481,61:39x27_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,B2,2508,70:51x18_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,B3,2544,82:npq1_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,B4,2340,14:115x12_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,B5,2493,65:48x160_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,C1,2301,1:Col-0_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,C2,2334,12:110x32_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,C3,2520,74:6x131_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,C4,2391,31:147x69_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,C5,2403,35:153x108_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,D1,2421,41:16x7_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,D2,2553,85:Stn8-1_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,D3,2418,40:16x66_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,D4,2415,39:16x4_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00010,0,standard,D5,2448,50:19x173_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,A1,2466,56:24x171_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,A2,2352,18:122x42_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,A3,2364,22:133x35_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,A4,2397,33:150x37_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,A5,2529,77:8x61_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,B1,2451,51:19x67_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,B2,2478,60:38x35_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,B3,2349,17:12x142_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,B4,2457,53:191x31_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,B5,2346,16:118x164_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,C1,2517,73:59x116_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,C2,2337,13:112x30_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,C3,2394,32:149x165_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,C4,2367,23:134x29_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,C5,2538,80:cvixler_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,D1,2358,20:128x6_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,D2,2361,21:129x132_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,D3,2379,27:139x36_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,D4,2304,2:cvi self_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00011,0,standard,D5,2562,88:Spare1_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,A1,2499,67:5x172_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,A2,2310,4:10x26_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,A3,2316,6:LL-1_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,A4,2547,83:npq4_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,A5,2376,26:165x137_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,B1,2541,81:lerxcvi_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,B2,2535,79:ler_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,B3,2487,63:45x23_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,B4,2502,68:5x188_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,B5,2388,30:147x50_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,C1,2548,83:npq4_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,C2,2395,32:149x165_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,C3,2401,34:152x42_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,C4,2566,89:Spare2_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,C5,2506,69:51x111_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,D1,2539,80:cvixler_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,D2,2500,67:5x172_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,D3,2341,14:115x12_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,D4,2527,76:63x151_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00012,0,standard,D5,2440,47:180x157_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,A1,2419,40:16x66_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,A2,2434,45:171x143_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,A3,2569,90:Spare3_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,A4,2404,35:153x108_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,A5,2485,62:44x50_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,B1,2446,49:187x69_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,B2,2323,8:107x121_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,B3,2308,3:1x146_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,B4,2482,61:39x27_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,B5,2362,21:129x132_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,C1,2326,9:18x109_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,C2,2449,50:19x173_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,C3,2413,38:119x60_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,C4,2350,17:12x142_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,C5,2542,81:lerxcvi_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,D1,2536,79:ler_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,D2,2551,84:pgr5_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,D3,2476,59:33x58_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,D4,2338,13:112x30_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00013,0,standard,D5,2371,24:135x10_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,A1,2383,28:14x4_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,A2,2455,52:190x176_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,A3,2422,41:16x7_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,A4,2425,42:166x25_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,A5,2458,53:191x31_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,B1,2491,64:46x29_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,B2,2392,31:147x69_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,B3,2377,26:165x137_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,B4,2533,78:ler self_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,B5,2410,37:156x106_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,C1,2356,19:125x117_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,C2,2329,10:109x48_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,C3,2353,18:122x42_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,C4,2437,46:174x34_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00014,0,standard,C5,2317,6:LL-1_R3,0
Pr#2013-0012_Exp#0002_Ath_Tr#00001,0,standard,A1,2705,46:174x34_R1,0
Pr#2013-0012_Exp#0002_Ath_Tr#00001,0,standard,A2,2663,32:149x165_R1,0
Pr#2013-0012_Exp#0002_Ath_Tr#00001,0,standard,A3,2681,38:119x60_R1,0
Pr#2013-0012_Exp#0002_Ath_Tr#00001,0,standard,A4,2726,53:191x31_R1,0
Pr#2013-0012_Exp#0002_Ath_Tr#00001,0,standard,A5,2780,71:54x183_R1,0
Pr#2013-0012_Exp#0002_Ath_Tr#00001,0,standard,B1,2633,22:133x35_R1,0
